ph,Hardness,Solids,Chloramines,Sulfates,Conductivity,Organic_Carbon,Trihalomethanes,Turbidity,Potability
NaN,204.890455,20791.31898,7.300212,368.516441,564.308654,10.379783,86.99097,2.963135,0
3.71608,129.422921,18630.05786,6.635246,NaN,592.885359,15.180013,56.329076,4.5003546,1
8.099124,224.236259,19909.54173,9.275884,NaN,418.606213,16.868637,66.420093,3.055964,0
8.316766,214.373394,22018.41744,8.059332,356.886136,363.266516,18.436524,100.341674,4.628771,1
9.092223,181.101509,179.865,6.5466,310.135738,398.410813,11.558279,31.997993,4.075075,0
11.425,954.024538,81529.20101,6.5466,310.135738,398.410813,11.558279,31.997993,4.075075,0
40.649193,1703.158621,142267.083,6.5466,310.135738,398.410813,11.558279,31.997993,4.075075,0
77.582306,3276.894321,265904.1082,6.5466,310.135738,398.410813,11.558279,31.997993,4.075075,0
147.065488,6329.552383,511898.6747,6.5466,310.135738,398.410813,11.558279,31.997993,4.075075,0
285.81421,12444.73137,1001778.932,6.5466,310.135738,398.410813,11.558279,31.997993,4.075075,0
562.536197,24708.36124,2003377.999,6.5466,310.135738,398.410813,11.558279,31.997993,4.075075,0
1113.647394,48462.69793,3925226.797,6.5466,310.135738,398.410813,11.558279,31.997993,4.075075,0
2186.645595,95222.23724,7708186.511,6.5466,310.135738,398.410813,11.558279,31.997993,4.075075,0
4295.708884,187167.5802,15150468.91,6.5466,310.135738,398.410813,11.558279,31.997993,4.075075,0
8444.35228,368005.6079,29789039.15,6.5466,310.135738,398.410813,11.558279,31.997993,4.075075,0
16602.89035,723566.4845,58576299.37,6.5466,310.135738,398.410813,11.558279,31.997993,4.075075,0
32643.2445,1422424.608,115149220.7,6.5466,310.135738,398.410813,11.558279,31.997993,4.075075,0
64172.84161,2796386.518,226373214.7,6.5466,310.135738,398.410813,11.558279,31.997993,4.075075,0
126159.0376,5497550.798,445038242.9,6.5466,310.135738,398.410813,11.558279,31.997993,4.075075,0
248022.3664,10807934.02,874926016.8,6.5466,310.135738,398.410813,11.558279,31.997993,4.075075,0
487600.3805,21247862.42,1720062995,6.5466,310.135738,398.410813,11.558279,31.997993,4.075075,0
958597.8706,41772158.36,3381549690,6.5466,310.135738,398.410813,11.558279,31.997993,4.075075,0
1884552.497,82121892.12,6647950159,6.5466,310.135738,398.410813,11.558279,31.997993,4.075075,0
3704932.152,161447397.7,13069527103,6.5466,310.135738,398.410813,11.558279,31.997993,4.075075,0
